id_usuario,ids_restaurante_favorito
614908,14228
614908,14440
614908,3977
614908,4072
614908,4108
614908,5535
614908,855
614908,8742
73471,3824
75440,315
31750,10726
31750,11958
31750,13686
31750,8742
741420,12758
741420,2265
18910,2945
80159,1751
80159,2262
80159,650
80159,6645
80159,7303
374974,6746
374974,8432
86448,6888
86448,8512
26969,747
102458,2662
90514,12100
90514,7573
379262,11424
248528,567
248528,712
248528,10604
248528,2265
248528,3126
31565,3998
436042,2761
436042,7788
436042,125
5807f6ef9e365,515
5807f6ef9e365,42
5807f6ef9e365,10322
5807f6ef9e365,15330
5807f6ef9e365,15114
5807f6ef9e365,13062
72185,14576
72185,219
72185,10878
72185,11274
72185,1405
72185,2335
72185,2511
72185,3896
72185,476
72185,59
74925,6954
182058,200
182058,2248
182058,340
182058,583
182058,852
278606,14144
12134,1
12134,1680
12134,261
12134,4196
12134,48
12134,4931
12134,6879
12134,6999
12134,772
12134,8222
64682,11424
64682,11570
64682,12118
64682,12788
64682,1410
64682,196
64682,244
64682,2862
64682,345
64682,4072
56697,7740
70439,4
248214,13516
248214,3899
248214,48
248214,8786
211898,8490
12805,3610
35395,59
313254,4065
313254,9006
80075,7686
478094,14076
37088,11044
78138,130
78138,2130
78138,237
78138,5003
451858,3348
54959,10186
54959,10236
54959,1715
54959,3306
54959,3338
54959,3378
54959,3393
54959,3407
54959,3441
54959,3907
495300,14094
359414,9802
225972,2007
307200,6000
231648,48
231648,8432
231648,11016
231648,12302
231648,13062
231648,418
81291,2374
47537,14976
47537,9590
40551,416
40551,7761
73367,1060
73367,2116
